Pclass,Sex,Age,SibSp,Parch,Fare,Survived
3,0,22,1,0,7.25,0
1,1,38,1,0,71.28,1
3,1,26,0,0,7.92,1
1,1,35,1,0,53.1,1
3,0,35,0,0,8.05,0
3,0,27,0,0,8.45,0
1,0,54,0,0,51.86,0
3,0,2,3,1,21.07,0
3,1,27,0,2,11.13,1
2,1,14,1,0,30.07,1
3,1,4,1,1,16.7,1
1,1,58,0,0,26.55,1
3,0,20,0,0,8.05,0
3,0,39,1,5,31.27,0
3,1,14,0,0,7.85,0
2,1,55,0,0,16,1
3,0,2,4,1,29.12,0
2,0,30,0,0,13,1
3,1,31,1,0,18,0
3,1,25,0,0,7.22,1
2,0,35,0,0,26,0
2,0,34,0,0,13,1
3,1,15,0,0,8.02,1
1,0,28,0,0,35.5,1
3,1,8,3,1,21.07,0
3,1,38,1,5,31.38,1
3,0,25,0,0,7.22,0
1,0,19,3,2,263,0
3,1,22,0,0,7.75,1
2,0,66,0,0,10.5,0
1,0,28,1,0,82.17,0
1,0,42,1,0,52,0
3,0,21,0,0,8.05,0
2,1,27,1,0,21,1
1,0,40,0,0,27.72,0
3,0,20,0,0,7.22,1
2,0,60,1,1,39,0
1,0,64,1,4,263,0
2,1,57,0,0,10.5,0
1,1,49,1,0,76.72,1
2,1,29,1,0,26,1
1,0,65,0,1,61.97,0
3,0,21,0,0,7.85,0
2,1,24,2,3,18.75,1
3,0,45,0,0,8.05,0
3,1,17,0,0,14.45,0
3,0,20,0,0,9.84,0
1,1,44,0,0,27.72,1
3,1,22,0,0,9.83,1
3,0,42,0,0,7.55,0
3,0,24,0,0,7.89,0
1,1,45,1,0,83.47,1
1,1,35,1,0,90,1
1,1,22,1,0,55,1
1,0,62,0,0,26.55,1
1,0,45,1,0,35.5,0
1,1,39,1,1,110.88,1
1,1,51,1,0,77.95,1
3,1,24,0,2,16.7,1
3,0,19,0,0,7.89,0
3,1,28,0,0,7.75,1
3,0,32,0,0,56.49,1
2,1,40,0,0,13,1
2,0,32,0,0,10.5,0
3,0,26,0,0,8.05,0
2,1,30,0,0,12.35,1
3,0,25,1,0,7.77,0
3,0,18,0,0,7.77,0
3,0,26,0,0,7.89,0
3,0,36,0,0,7.49,0
